Sep=;
#X1;-12288
#Z1;-5778
#X2;-8813
#Z2;-2519
seed;structure;x;z;details
-7255983415753010796;village;-11824;-5600;plains_meeting_point_1
-7255983415753010796;village;-11840;-5184;plains_fountain_01
-7255983415753010796;village;-11632;-4608;plains_fountain_01
-7255983415753010796;village;-11616;-3552;plains_meeting_point_1
-7255983415753010796;village;-11168;-5296;plains_fountain_01
-7255983415753010796;village;-11392;-4608;plains_meeting_point_1
-7255983415753010796;village;-11392;-4208;plains_meeting_point_1
-7255983415753010796;village;-10736;-5744;taiga_meeting_point_2
-7255983415753010796;village;-10768;-4672;plains_meeting_point_1
-7255983415753010796;village;-10144;-3664;savanna_meeting_point_2
-7255983415753010796;village;-9632;-4576;plains_fountain_01
-7255983415753010796;village;-8848;-4096;savanna_meeting_point_1
-7255983415753010796;monument;-11008;-3760;
-7255983415753010796;ocean_ruin;-11200;-4048;
-7255983415753010796;ocean_ruin;-11184;-3824;
-7255983415753010796;ocean_ruin;-11088;-3424;
-7255983415753010796;ocean_ruin;-10752;-3696;
-7255983415753010796;ocean_ruin;-10400;-4480;
-7255983415753010796;ocean_ruin;-10528;-4064;
-7255983415753010796;ocean_ruin;-10432;-3808;
-7255983415753010796;ocean_ruin;-10400;-3488;
-7255983415753010796;ocean_ruin;-10224;-4736;
-7255983415753010796;ocean_ruin;-10224;-4336;
-7255983415753010796;ocean_ruin;-10128;-4160;
-7255983415753010796;ocean_ruin;-10128;-2864;
-7255983415753010796;ocean_ruin;-9840;-5680;
-7255983415753010796;ocean_ruin;-9744;-3680;
-7255983415753010796;ocean_ruin;-9600;-4000;
-7255983415753010796;ocean_ruin;-9552;-3728;
-7255983415753010796;ocean_ruin;-9600;-2544;
-7255983415753010796;ocean_ruin;-8912;-4480;
-7255983415753010796;shipwreck;-11136;-4320;
-7255983415753010796;shipwreck;-11024;-4112;
-7255983415753010796;shipwreck;-10880;-3632;
-7255983415753010796;shipwreck;-10480;-4304;
-7255983415753010796;shipwreck;-10512;-4016;
-7255983415753010796;shipwreck;-10464;-3808;
-7255983415753010796;shipwreck;-10208;-4592;
-7255983415753010796;shipwreck;-9824;-5632;
-7255983415753010796;shipwreck;-9296;-4016;
-7255983415753010796;shipwreck;-9568;-2608;
-7255983415753010796;shipwreck;-9152;-4224;
-7255983415753010796;treasure;-12119;-3783;
-7255983415753010796;treasure;-12071;-2807;
-7255983415753010796;treasure;-11959;-3687;
-7255983415753010796;treasure;-11415;-4007;
-7255983415753010796;treasure;-11271;-3607;
-7255983415753010796;treasure;-11159;-4343;
-7255983415753010796;treasure;-10999;-3255;
-7255983415753010796;treasure;-10871;-3111;
-7255983415753010796;treasure;-9943;-4567;
-7255983415753010796;mineshaft;-12288;-2944;
-7255983415753010796;mineshaft;-12272;-2592;
-7255983415753010796;mineshaft;-12256;-4160;
-7255983415753010796;mineshaft;-12192;-5056;
-7255983415753010796;mineshaft;-12192;-4336;
-7255983415753010796;mineshaft;-12176;-4096;
-7255983415753010796;mineshaft;-12144;-4864;
-7255983415753010796;mineshaft;-12128;-5440;
-7255983415753010796;mineshaft;-12128;-2944;
-7255983415753010796;mineshaft;-12112;-4880;
-7255983415753010796;mineshaft;-12112;-4384;
-7255983415753010796;mineshaft;-12080;-3312;
-7255983415753010796;mineshaft;-12080;-2768;
-7255983415753010796;mineshaft;-12032;-2560;
-7255983415753010796;mineshaft;-12016;-5696;
-7255983415753010796;mineshaft;-12016;-4336;
-7255983415753010796;mineshaft;-12016;-3984;
-7255983415753010796;mineshaft;-12016;-2832;
-7255983415753010796;mineshaft;-11984;-5280;
-7255983415753010796;mineshaft;-11936;-5584;
-7255983415753010796;mineshaft;-11936;-4096;
-7255983415753010796;mineshaft;-11936;-4064;
-7255983415753010796;mineshaft;-11936;-3616;
-7255983415753010796;mineshaft;-11904;-3408;
-7255983415753010796;mineshaft;-11904;-3152;
-7255983415753010796;mineshaft;-11888;-5376;
-7255983415753010796;mineshaft;-11888;-2960;
-7255983415753010796;mineshaft;-11872;-4128;
-7255983415753010796;mineshaft;-11840;-5584;
-7255983415753010796;mineshaft;-11840;-3232;
-7255983415753010796;mineshaft;-11840;-2528;
-7255983415753010796;mineshaft;-11824;-4752;
-7255983415753010796;mineshaft;-11808;-3936;
-7255983415753010796;mineshaft;-11792;-2608;
-7255983415753010796;mineshaft;-11744;-5056;
-7255983415753010796;mineshaft;-11712;-5248;
-7255983415753010796;mineshaft;-11680;-4976;
-7255983415753010796;mineshaft;-11664;-3168;
-7255983415753010796;mineshaft;-11632;-4000;
-7255983415753010796;mineshaft;-11600;-2560;
-7255983415753010796;mineshaft;-11584;-2720;
-7255983415753010796;mineshaft;-11568;-4000;
-7255983415753010796;mineshaft;-11568;-3632;
-7255983415753010796;mineshaft;-11568;-3616;
-7255983415753010796;mineshaft;-11552;-3344;
-7255983415753010796;mineshaft;-11552;-3184;
-7255983415753010796;mineshaft;-11456;-4704;
-7255983415753010796;mineshaft;-11440;-3072;
-7255983415753010796;mineshaft;-11408;-3840;
-7255983415753010796;mineshaft;-11408;-2736;
-7255983415753010796;mineshaft;-11392;-3584;
-7255983415753010796;mineshaft;-11312;-2768;
-7255983415753010796;mineshaft;-11312;-2736;
-7255983415753010796;mineshaft;-11280;-5440;
-7255983415753010796;mineshaft;-11280;-4928;
-7255983415753010796;mineshaft;-11232;-5200;
-7255983415753010796;mineshaft;-11232;-3728;
-7255983415753010796;mineshaft;-11232;-2736;
-7255983415753010796;mineshaft;-11200;-4912;
-7255983415753010796;mineshaft;-11120;-5248;
-7255983415753010796;mineshaft;-11104;-3472;
-7255983415753010796;mineshaft;-11056;-5136;
-7255983415753010796;mineshaft;-11040;-5632;
-7255983415753010796;mineshaft;-11040;-2752;
-7255983415753010796;mineshaft;-10992;-2720;
-7255983415753010796;mineshaft;-10976;-5040;
-7255983415753010796;mineshaft;-10976;-3616;
-7255983415753010796;mineshaft;-10976;-2960;
-7255983415753010796;mineshaft;-10960;-4176;
-7255983415753010796;mineshaft;-10960;-3008;
-7255983415753010796;mineshaft;-10944;-5392;
-7255983415753010796;mineshaft;-10944;-5136;
-7255983415753010796;mineshaft;-10928;-3680;
-7255983415753010796;mineshaft;-10928;-2816;
-7255983415753010796;mineshaft;-10912;-4976;
-7255983415753010796;mineshaft;-10880;-2752;
-7255983415753010796;mineshaft;-10848;-3920;
-7255983415753010796;mineshaft;-10832;-4720;
-7255983415753010796;mineshaft;-10832;-4480;
-7255983415753010796;mineshaft;-10768;-5312;
-7255983415753010796;mineshaft;-10768;-4368;
-7255983415753010796;mineshaft;-10768;-3760;
-7255983415753010796;mineshaft;-10752;-5520;
-7255983415753010796;mineshaft;-10752;-3872;
-7255983415753010796;mineshaft;-10736;-4336;
-7255983415753010796;mineshaft;-10736;-4000;
-7255983415753010796;mineshaft;-10720;-3280;
-7255983415753010796;mineshaft;-10688;-5360;
-7255983415753010796;mineshaft;-10688;-4192;
-7255983415753010796;mineshaft;-10656;-4928;
-7255983415753010796;mineshaft;-10640;-2800;
-7255983415753010796;mineshaft;-10624;-4640;
-7255983415753010796;mineshaft;-10624;-4528;
-7255983415753010796;mineshaft;-10608;-4800;
-7255983415753010796;mineshaft;-10608;-4112;
-7255983415753010796;mineshaft;-10608;-3392;
-7255983415753010796;mineshaft;-10576;-5584;
-7255983415753010796;mineshaft;-10560;-3216;
-7255983415753010796;mineshaft;-10544;-3952;
-7255983415753010796;mineshaft;-10496;-5120;
-7255983415753010796;mineshaft;-10448;-4560;
-7255983415753010796;mineshaft;-10432;-4528;
-7255983415753010796;mineshaft;-10416;-2912;
-7255983415753010796;mineshaft;-10368;-3904;
-7255983415753010796;mineshaft;-10352;-4240;
-7255983415753010796;mineshaft;-10352;-3856;
-7255983415753010796;mineshaft;-10352;-2688;
-7255983415753010796;mineshaft;-10336;-4800;
-7255983415753010796;mineshaft;-10336;-3088;
-7255983415753010796;mineshaft;-10272;-3472;
-7255983415753010796;mineshaft;-10256;-4160;
-7255983415753010796;mineshaft;-10224;-5632;
-7255983415753010796;mineshaft;-10224;-4400;
-7255983415753010796;mineshaft;-10224;-3232;
-7255983415753010796;mineshaft;-10176;-4576;
-7255983415753010796;mineshaft;-10176;-3200;
-7255983415753010796;mineshaft;-10160;-3328;
